日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2020-07-01,600438,通威股份,18.17,18.17,17.41,17.95,17.38,0.79,4.5455,92045349
2020-06-30,600438,通威股份,17.38,17.99,17.08,17.8,17.4,-0.02,-0.1149,88217468
2020-06-29,600438,通威股份,17.4,18.18,17.2,17.2,17.2,0.2,1.1628,109534359
2020-06-24,600438,通威股份,17.2,17.78,16.5,16.65,16.44,0.76,4.6229,112243789
2020-06-23,600438,通威股份,16.44,16.65,15.58,15.59,15.73,0.71,4.5137,95224035
2020-06-22,600438,通威股份,15.73,15.73,14.91,14.91,14.87,0.86,5.7835,85103778
2020-06-19,600438,通威股份,14.87,15.06,14.82,14.95,14.87,0.0,0.0,48149610
2020-06-18,600438,通威股份,14.87,15.03,14.57,14.79,14.82,0.05,0.3374,36508508
2020-06-17,600438,通威股份,14.82,15.28,14.66,15.24,15.11,-0.29,-1.9193,45795906
2020-06-16,600438,通威股份,15.11,15.24,14.8,14.98,14.9,0.21,1.4094,54010616
2020-06-15,600438,通威股份,14.9,14.96,14.2,14.55,14.87,0.03,0.2017,63600515
2020-06-12,600438,通威股份,14.87,14.96,14.61,14.72,15.14,-0.27,-1.7834,62510200
2020-06-11,600438,通威股份,15.14,15.6,14.85,14.95,14.95,0.19,1.2709,93340060
2020-06-10,600438,通威股份,14.95,15.1,14.58,14.78,14.83,0.12,0.8092,57937199
2020-06-09,600438,通威股份,14.83,14.9,14.65,14.84,14.78,0.05,0.3383,54976358
2020-06-08,600438,通威股份,14.78,14.92,13.97,14.05,13.96,0.82,5.8739,102598047
2020-06-05,600438,通威股份,13.96,14.13,13.76,14.09,14.04,-0.08,-0.5698,41126543
2020-06-04,600438,通威股份,14.04,14.21,13.95,14.08,13.98,0.06,0.4292,36009564
2020-06-03,600438,通威股份,13.98,14.3,13.93,14.15,14.11,-0.13,-0.9213,49495773
2020-06-02,600438,通威股份,14.11,14.47,14.1,14.25,14.25,-0.14,-0.9825,51553313
2020-06-01,600438,通威股份,14.25,14.33,13.68,13.96,13.7,0.55,4.0146,82269277
2020-05-29,600438,通威股份,13.7,13.85,12.98,13.08,13.09,0.61,4.66,93422338
2020-05-28,600438,通威股份,13.09,13.38,12.88,13.33,13.32,-0.23,-1.7267,43617932
2020-05-27,600438,通威股份,13.32,13.45,13.01,13.25,13.34,-0.02,-0.1499,45356274
2020-05-26,600438,XD通威股,13.34,13.42,13.16,13.2,13.03,0.31,2.3791,56066152
2020-05-25,600438,通威股份,13.22,13.39,12.84,13.28,13.31,-0.09,-0.6762,61010481
2020-05-22,600438,通威股份,13.31,13.71,13.11,13.69,13.57,-0.26,-1.916,78191468
2020-05-21,600438,通威股份,13.57,14.65,13.52,14.58,14.45,-0.88,-6.09,116229809
2020-05-20,600438,通威股份,14.45,14.9,14.39,14.74,14.66,-0.21,-1.4325,68604664
2020-05-19,600438,通威股份,14.66,15.05,14.6,14.75,14.48,0.18,1.2431,113434305
2020-05-18,600438,通威股份,14.48,14.68,13.91,14.15,14.07,0.41,2.914,117813610
2020-05-15,600438,通威股份,14.07,14.42,13.81,14.06,14.11,-0.04,-0.2835,92949956
2020-05-14,600438,通威股份,14.11,14.59,14.0,14.5,14.64,-0.53,-3.6202,100946219
2020-05-13,600438,通威股份,14.64,14.93,14.58,14.7,15.06,-0.42,-2.7888,90705190
2020-05-12,600438,通威股份,15.06,15.07,14.16,14.4,14.3,0.76,5.3147,137857554
2020-05-11,600438,通威股份,14.3,14.71,14.18,14.43,14.66,-0.36,-2.4557,109305746
2020-05-08,600438,通威股份,14.66,15.16,14.64,15.02,14.98,-0.32,-2.1362,117965052
2020-05-07,600438,通威股份,14.98,15.55,14.95,15.13,15.1,-0.12,-0.7947,104848205
2020-05-06,600438,通威股份,15.1,15.29,14.65,14.97,15.11,-0.01,-0.0662,113120539
2020-04-30,600438,通威股份,15.11,15.26,14.18,14.18,14.18,0.93,6.5585,139149497
