日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2019-09-16,603967,中创物流,18.66,18.66,17.82,17.88,17.87,0.79,4.4208,10067500
2019-09-12,603967,中创物流,17.87,18.03,17.76,18.03,17.84,0.03,0.1682,2627930
2019-09-11,603967,中创物流,17.84,18.23,17.83,18.11,18.18,-0.34,-1.8702,4190300
2019-09-10,603967,中创物流,18.18,18.36,17.72,18.07,18.09,0.09,0.4975,6381445
2019-09-09,603967,中创物流,18.09,18.25,17.92,18.24,18.15,-0.06,-0.3306,5884914
2019-09-06,603967,中创物流,18.15,18.17,17.63,17.74,17.68,0.47,2.6584,7150178
2019-09-05,603967,中创物流,17.68,18.05,17.55,17.79,17.76,-0.08,-0.4505,6845519
2019-09-04,603967,中创物流,17.76,17.76,17.08,17.09,17.11,0.65,3.7989,7201504
2019-09-03,603967,中创物流,17.11,17.29,17.05,17.27,17.22,-0.11,-0.6388,3149541
2019-09-02,603967,中创物流,17.22,17.32,17.03,17.03,17.01,0.21,1.2346,3275684
2019-08-30,603967,中创物流,17.01,17.69,17.01,17.67,17.59,-0.58,-3.2973,4518723
2019-08-29,603967,中创物流,17.59,17.87,17.37,17.58,17.63,-0.04,-0.2269,4717525
2019-08-28,603967,中创物流,17.63,17.92,17.42,17.83,17.94,-0.31,-1.728,5752564
2019-08-27,603967,中创物流,17.94,18.18,17.77,18.18,18.08,-0.14,-0.7743,7932853
2019-08-26,603967,中创物流,18.08,18.65,17.65,17.7,18.28,-0.2,-1.0941,7634241
2019-08-23,603967,中创物流,18.28,18.45,17.56,17.6,17.52,0.76,4.3379,8623564
2019-08-22,603967,中创物流,17.52,17.98,17.36,17.82,17.82,-0.3,-1.6835,4876297
2019-08-21,603967,中创物流,17.82,18.46,17.7,17.8,17.96,-0.14,-0.7795,8023153
2019-08-20,603967,中创物流,17.96,18.39,17.17,17.38,17.39,0.57,3.2777,9516885
2019-08-19,603967,中创物流,17.39,17.67,16.66,16.67,16.66,0.73,4.3818,6681990
2019-08-16,603967,中创物流,16.66,17.08,16.39,16.39,16.32,0.34,2.0833,5691177
2019-08-15,603967,中创物流,16.32,16.35,15.9,16.09,16.56,-0.24,-1.4493,3556250
2019-08-14,603967,中创物流,16.56,16.9,16.46,16.5,16.31,0.25,1.5328,4157615
2019-08-13,603967,中创物流,16.31,16.43,16.29,16.4,16.58,-0.27,-1.6285,2435619
2019-08-12,603967,中创物流,16.58,16.59,16.26,16.39,16.41,0.17,1.036,2242446
2019-08-09,603967,中创物流,16.41,16.88,16.31,16.88,16.71,-0.3,-1.7953,3273339
2019-08-08,603967,中创物流,16.71,16.94,16.63,16.73,16.74,-0.03,-0.1792,3118405
2019-08-07,603967,中创物流,16.74,17.15,16.7,17.0,16.94,-0.2,-1.1806,3398454
2019-08-06,603967,中创物流,16.94,17.31,16.3,17.3,17.6,-0.66,-3.75,5790132
2019-08-05,603967,中创物流,17.6,18.03,17.36,17.43,17.58,0.02,0.1138,4109931
2019-08-02,603967,中创物流,17.58,17.7,17.32,17.7,18.08,-0.5,-2.7655,4007276
2019-08-01,603967,中创物流,18.08,18.23,17.97,18.1,18.18,-0.1,-0.5501,2373084
2019-07-31,603967,中创物流,18.18,18.5,18.17,18.33,18.31,-0.13,-0.71,2173920
2019-07-30,603967,中创物流,18.31,18.47,18.25,18.28,18.25,0.06,0.3288,2309224
2019-07-29,603967,中创物流,18.25,18.45,18.13,18.41,18.41,-0.16,-0.8691,2515249
2019-07-26,603967,中创物流,18.41,18.49,18.25,18.48,18.49,-0.08,-0.4327,2608723
2019-07-25,603967,中创物流,18.49,18.81,18.4,18.81,18.56,-0.07,-0.3772,3932581
2019-07-24,603967,中创物流,18.56,18.8,18.11,18.16,18.07,0.49,2.7117,4378033
2019-07-23,603967,中创物流,18.07,18.18,17.93,18.0,17.97,0.1,0.5565,2313598
2019-07-22,603967,中创物流,17.97,19.53,17.81,19.45,19.45,-1.48,-7.6093,5369067
2019-07-19,603967,中创物流,19.45,19.64,19.42,19.51,19.41,0.04,0.2061,2332579
2019-07-18,603967,中创物流,19.41,19.73,19.41,19.73,19.89,-0.48,-2.4133,3272307
2019-07-17,603967,中创物流,19.89,20.16,19.88,20.0,20.14,-0.25,-1.2413,3853706
