日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2019-03-04,002517,恺英网络,4.23,4.36,4.14,4.18,4.17,0.06,1.4388,70022041
2019-03-01,002517,恺英网络,4.17,4.3,4.05,4.28,4.32,-0.15,-3.4722,72089742
2019-02-28,002517,恺英网络,4.32,4.4,4.22,4.4,4.36,-0.04,-0.9174,60882075
2019-02-27,002517,恺英网络,4.36,4.44,4.19,4.25,4.24,0.12,2.8302,75157260
2019-02-26,002517,恺英网络,4.24,4.42,4.16,4.35,4.33,-0.09,-2.0785,81220008
2019-02-25,002517,恺英网络,4.33,4.34,3.97,3.98,3.96,0.37,9.3434,81024514
2019-02-22,002517,恺英网络,3.96,4.02,3.75,3.76,3.78,0.18,4.7619,61425115
2019-02-21,002517,恺英网络,3.78,3.91,3.75,3.82,3.85,-0.07,-1.8182,48806898
2019-02-20,002517,恺英网络,3.85,3.87,3.72,3.76,3.8,0.05,1.3158,36582283
2019-02-19,002517,恺英网络,3.8,3.83,3.71,3.75,3.73,0.07,1.8767,40021814
2019-02-18,002517,恺英网络,3.73,3.74,3.6,3.61,3.57,0.16,4.4818,30856610
2019-02-15,002517,恺英网络,3.57,3.63,3.54,3.55,3.61,-0.04,-1.108,26577266
2019-02-14,002517,恺英网络,3.61,3.65,3.54,3.57,3.57,0.04,1.1204,31525252
2019-02-13,002517,恺英网络,3.57,3.62,3.49,3.5,3.47,0.1,2.8818,34205667
2019-02-12,002517,恺英网络,3.47,3.54,3.41,3.44,3.44,0.03,0.8721,27471040
2019-02-11,002517,恺英网络,3.44,3.46,3.31,3.31,3.3,0.14,4.2424,29126610
2019-02-01,002517,恺英网络,3.3,3.3,3.11,3.12,3.08,0.22,7.1429,28553036
2019-01-31,002517,恺英网络,3.08,3.34,3.02,3.34,3.36,-0.28,-8.3333,38493805
2019-01-30,002517,恺英网络,3.36,3.45,3.34,3.39,3.44,-0.08,-2.3256,14680400
2019-01-29,002517,恺英网络,3.44,3.65,3.33,3.63,3.65,-0.21,-5.7534,26480585
2019-01-28,002517,恺英网络,3.65,3.75,3.64,3.73,3.71,-0.06,-1.6173,16157241
2019-01-25,002517,恺英网络,3.71,3.79,3.69,3.78,3.76,-0.05,-1.3298,14041429
2019-01-24,002517,恺英网络,3.76,3.81,3.69,3.76,3.73,0.03,0.8043,19147660
2019-01-23,002517,恺英网络,3.73,3.78,3.69,3.77,3.76,-0.03,-0.7979,10919750
2019-01-22,002517,恺英网络,3.76,3.88,3.75,3.87,3.87,-0.11,-2.8424,18452205
2019-01-21,002517,恺英网络,3.87,3.94,3.87,3.89,3.9,-0.03,-0.7692,17092538
2019-01-18,002517,恺英网络,3.9,3.91,3.81,3.88,3.85,0.05,1.2987,14730112
2019-01-17,002517,恺英网络,3.85,3.92,3.84,3.92,3.92,-0.07,-1.7857,15522963
2019-01-16,002517,恺英网络,3.92,4.01,3.9,3.92,3.92,0.0,0.0,18568602
2019-01-15,002517,恺英网络,3.92,3.94,3.82,3.83,3.84,0.08,2.0833,17102237
2019-01-14,002517,恺英网络,3.84,3.99,3.82,3.97,3.94,-0.1,-2.5381,22039549
2019-01-11,002517,恺英网络,3.94,3.95,3.83,3.84,3.84,0.1,2.6042,25360908
2019-01-10,002517,恺英网络,3.84,3.91,3.8,3.82,3.82,0.02,0.5236,33745352
2019-01-09,002517,恺英网络,3.82,3.93,3.8,3.82,3.81,0.01,0.2625,34791100
